iter	Passed	Remaining
713	9417	3772
714	9429	3758
715	9441	3745
716	9453	3731
717	9464	3717
718	9476	3703
719	9488	3690
720	9499	3676
721	9513	3663
722	9526	3649
723	9539	3636
724	9554	3624
725	9565	3610
726	9577	3596
727	9589	3582
728	9600	3568
729	9612	3555
730	9625	3542
731	9638	3528
732	9649	3514
733	9661	3501
734	9673	3487
735	9684	3473
736	9695	3459
737	9708	3446
738	9720	3432
739	9731	3419
740	9778	3417
741	9798	3407
742	9810	3393
743	9823	3380
744	9838	3367
745	9849	3353
746	9861	3339
747	9872	3326
748	9884	3312
749	9895	3298
750	9907	3285
751	9921	3271
752	9932	3258
753	9943	3244
754	9956	3230
755	9968	3217
756	9978	3203
757	9991	3189
758	10005	3176
759	10018	3163
760	10031	3150
761	10043	3136
762	10055	3123
763	10067	3109
764	10078	3095
765	10090	3082
766	10102	3068
767	10113	3055
768	10124	3041
769	10137	3028
770	10150	3014
771	10161	3000
772	10174	2987
773	10186	2974
774	10198	2960
775	10209	2947
776	10221	2933
777	10233	2920
778	10243	2906
779	10255	2892
780	10268	2879
781	10282	2866
782	10292	2852
783	10305	2839
784	10317	2825
785	10329	2812
786	10340	2798
787	10353	2785
788	10364	2771
789	10375	2758
790	10388	2744
791	10400	2731
792	10412	2718
793	10423	2704
794	10436	2691
795	10447	2677
796	10459	2664
797	10470	2650
798	10483	2637
799	10496	2624
800	10507	2610
801	10519	2597
802	10532	2583
803	10544	2570
804	10555	2556
805	10567	2543
806	10579	2530
807	10590	2516
808	10602	2503
809	10614	2489
810	10626	2476
811	10637	2462
812	10649	2449
813	10661	2436
814	10672	2422
815	10685	2409
816	10697	2396
817	10709	2382
818	10720	2369
819	10732	2355
820	10743	2342
821	10754	2328
822	10766	2315
823	10779	2302
824	10790	2288
825	10801	2275
826	10814	2262
827	10829	2249
828	10841	2236
829	10852	2222
830	10865	2209
831	10877	2196
832	10889	2183
833	10901	2169
834	10914	2156
835	10926	2143
836	10939	2130
837	10950	2116
838	10962	2103
839	10975	2090
840	10986	2077
841	11000	2064
842	11013	2051
843	11026	2038
844	11038	2024
845	11049	2011
846	11061	1998
847	11073	1984
848	11084	1971
849	11096	1958
850	11108	1945
851	11120	1931
852	11131	1918
853	11143	1905
854	11155	1891
855	11166	1878
856	11178	1865
857	11191	1852
858	11203	1839
859	11214	1825
860	11226	1812
861	11238	1799
862	11249	1785
863	11261	1772
864	11274	1759
865	11287	1746
866	11301	1733
867	11313	1720
868	11326	1707
869	11338	1694
870	11350	1681
871	11362	1667
872	11374	1654
873	11386	1641
874	11397	1628
875	11409	1614
876	11421	1601
877	11431	1588
878	11443	1575
879	11456	1562
880	11467	1549
881	11478	1535
882	11492	1522
883	11505	1509
884	11518	1496
885	11528	1483
886	11540	1470
887	11552	1457
888	11564	1443
889	11575	1430
890	11588	1417
891	11599	1404
892	11610	1391
893	11622	1378
894	11634	1364
895	11645	1351
896	11657	1338
897	11669	1325
898	11681	1312
899	11692	1299
900	11704	1286
901	11716	1273
902	11727	1259
903	11739	1246
904	11753	1233
905	11764	1220
906	11775	1207
907	11787	1194
908	11799	1181
909	11812	1168
910	11825	1155
911	11837	1142
912	11850	1129
913	11861	1116
914	11873	1102
915	11885	1089
916	11897	1076
917	11909	1063
918	11921	1050
919	11933	1037
920	11944	1024
921	11956	1011
922	11969	998
923	11982	985
924	11996	972
925	12006	959
926	12019	946
927	12031	933
928	12042	920
929	12054	907
930	12066	894
931	12078	881
932	12089	868
933	12102	855
934	12114	842
935	12125	829
936	12138	816
937	12150	803
938	12162	790
939	12173	777
940	12185	764
941	12197	751
942	12209	738
943	12220	724
944	12232	711
945	12244	698
946	12255	685
947	12269	672
948	12283	660
949	12309	647
950	12320	634
951	12332	621
952	12344	608
953	12355	595
954	12368	582
955	12380	569
956	12392	556
957	12403	543
958	12415	530
959	12427	517
960	12438	504
961	12450	491
962	12462	478
963	12475	465
964	12487	452
965	12499	439
966	12512	427
967	12525	414
968	12536	401
969	12548	388
970	12560	375
971	12571	362
972	12582	349
973	12594	336
974	12606	323
975	12617	310
976	12629	297
977	12641	284
978	12652	271
979	12664	258
980	12677	245
981	12688	232
982	12699	219
983	12711	206
984	12723	193
985	12734	180
986	12747	167
987	12759	154
988	12771	142
989	12782	129
990	12795	116
991	12809	103
992	12821	90
993	12832	77
994	12844	64
995	12856	51
996	12867	38
997	12879	25
998	12892	12
999	12905	0
